Year,Node Size (nm),Area (mm²),Transistor Density (tr/mm²),Power Density (W/cm²),Transistor Count
1971,10000,12,188,3.75,2275
1972,10000,14,250,3.9168,3320
1973,7500,15,167,4.0932,3360
1974,6000,20,300,3.9,5250
1975,6000,10,400,4.1351,4546.5
1976,5000,17,500,4.45,7500
1977,3000,20,575,4.9099,10771
1978,3000,30,967,5.6667,29000
1979,4000,46,380,5.1515,23250
1980,3500,43,1581,5.8287,59065
1981,1500,56,8036,6.5516,269771
1982,1500,89,1506,6.7347,134000
1983,3000,45,1000,5.631,115425.5
1984,2000,80,1375,3.667,172078.5
1985,1500,45,6111,6.46,275000
1986,2500,100,3500,5.9259,312500
1987,1200,69,1667,5.58,232500
1988,800,130,9000,5.9,1185000
1989,1000,173,6821,6.27,1190000
1990,800,213,6338,6.7,1325000
1991,1000,260,9615,5.3,1987500
1992,600,121,23140,6.64,2150000
1993,750,234,7179,9.2,2390000
1994,600,295,10508,9,3200000
1995,350,307,30293,12,7400000
1996,500,162,26543,15,4900000
1997,350,314,47771,18,11250000
1998,250,168,55357,22,9400000
1999,250,106,89623,20,16750000
2000,180,40,500000,23,31000000
2001,130,101,366337,25,39500000
2002,130,35,1085714,28,42500000
2003,130,193,549223,30,112000000
2004,90,44,1318182,33,91500000
2005,90,92,630435,35,107500000
2006,65,143,2034965,38,291000000
2007,65,286,2034965,41,519000000
2008,45,263,2780000,44,731000000
2009,45,346,2612717,47,817500000
2010,45,567,2116402,47,1099000000
2011,32,513,5068226,40.8163,1799000000
2012,28,561,12655971,50.4132,4250000000
2013,28,561,12655971,38.3077,4250000000
2014,20,89,22471910,54,2300000000
2015,14,104.5,28708134,38.5,2800000000
2016,16,125,26400000,60.17,3450206508
2017,10,87.66,49053160,64.1892,4470658131
2018,7,83.27,82862999,68.4769,6441575765
2019,7,98.48,86311941,73.051,8106460131
2020,5,120,133333333,77.9306,12971388294
2021,5,420.2,135600000,83.1362,34908649574
2022,5,157.9,126662445,88.6895,18261432607
